did,fair_aggregate,fair_F,fair_A,fair_I,fair_R,status,upload_date,NumberOfInstances,NumberOfFeatures,MajorityClassPercentage,upload_date_ordinal
3435,0.41557063624407525,0.41557063624407525,0.41557063624407525,0.41557063624407525,0.41557063624407525,fallback,,19.0,1026.0,,
3434,0.4473551550799379,0.4473551550799379,0.4473551550799379,0.4473551550799379,0.4473551550799379,fallback,,98.0,1026.0,,
3433,0.4979383858115137,0.4979383858115137,0.4979383858115137,0.4979383858115137,0.4979383858115137,fallback,,1261.0,1026.0,,
3432,0.4757882739709884,0.4757882739709884,0.4757882739709884,0.4757882739709884,0.4757882739709884,fallback,,413.0,1026.0,,
3431,0.44183779875520807,0.44183779875520807,0.44183779875520807,0.44183779875520807,0.44183779875520807,fallback,,74.0,1026.0,,
3430,0.4844449664537498,0.4844449664537498,0.4844449664537498,0.4844449664537498,0.4844449664537498,fallback,,639.0,1026.0,,
3429,0.43805491225708915,0.43805491225708915,0.43805491225708915,0.43805491225708915,0.43805491225708915,fallback,,61.0,1026.0,,
3417,0.4573859489543107,0.4573859489543107,0.4573859489543107,0.4573859489543107,0.4573859489543107,fallback,,163.0,1026.0,,
3427,0.521373824660239,0.521373824660239,0.521373824660239,0.521373824660239,0.521373824660239,fallback,,4103.0,1026.0,,
3426,0.45150663409089226,0.45150663409089226,0.45150663409089226,0.45150663409089226,0.45150663409089226,fallback,,121.0,1026.0,,
3425,0.47744531092606707,0.47744531092606707,0.47744531092606707,0.47744531092606707,0.47744531092606707,fallback,,449.0,1026.0,,
3424,0.45844766360141076,0.45844766360141076,0.45844766360141076,0.45844766360141076,0.45844766360141076,fallback,,172.0,1026.0,,
3423,0.4678023671302533,0.4678023671302533,0.4678023671302533,0.4678023671302533,0.4678023671302533,fallback,,276.0,1026.0,,
3422,0.42153459408089916,0.42153459408089916,0.42153459408089916,0.42153459408089916,0.42153459408089916,fallback,,26.0,1026.0,,
3421,0.4401807618001294,0.4401807618001294,0.4401807618001294,0.4401807618001294,0.4401807618001294,fallback,,68.0,1026.0,,
3420,0.4783938737974105,0.4783938737974105,0.4783938737974105,0.4783938737974105,0.4783938737974105,fallback,,471.0,1026.0,,
3419,0.49084120886524074,0.49084120886524074,0.49084120886524074,0.49084120886524074,0.49084120886524074,fallback,,882.0,1026.0,,
3418,0.4084824597195719,0.4084824597195719,0.4084824597195719,0.4084824597195719,0.4084824597195719,fallback,,13.0,1026.0,,
3428,0.4754981530384658,0.4754981530384658,0.4754981530384658,0.4754981530384658,0.4754981530384658,fallback,,407.0,1026.0,,
3370,0.41919389994885564,0.41919389994885564,0.41919389994885564,0.41919389994885564,0.41919389994885564,fallback,,23.0,1026.0,,
3368,0.5212670067924118,0.5212670067924118,0.5212670067924118,0.5212670067924118,0.5212670067924118,fallback,,4081.0,1026.0,,
3367,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,fallback,,44.0,1026.0,,
3366,0.43959622169111207,0.43959622169111207,0.43959622169111207,0.43959622169111207,0.43959622169111207,fallback,,66.0,1026.0,,
3365,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,fallback,,89.0,1026.0,,
3364,0.4924197696731014,0.4924197696731014,0.4924197696731014,0.4924197696731014,0.4924197696731014,fallback,,955.0,1026.0,,
3363,0.5154686142396075,0.5154686142396075,0.5154686142396075,0.5154686142396075,0.5154686142396075,fallback,,3048.0,1026.0,,
3362,0.42611577482567187,0.42611577482567187,0.42611577482567187,0.42611577482567187,0.42611577482567187,fallback,,33.0,1026.0,,
3361,0.4557447113356366,0.4557447113356366,0.4557447113356366,0.4557447113356366,0.4557447113356366,fallback,,150.0,1026.0,,
3360,0.46172328699653087,0.46172328699653087,0.46172328699653087,0.46172328699653087,0.46172328699653087,fallback,,203.0,1026.0,,
3395,0.4084824597195719,0.4084824597195719,0.4084824597195719,0.4084824597195719,0.4084824597195719,fallback,,13.0,1026.0,,
3358,0.4857663124893799,0.4857663124893799,0.4857663124893799,0.4857663124893799,0.4857663124893799,fallback,,683.0,1026.0,,
3357,0.4307827257982211,0.4307827257982211,0.4307827257982211,0.4307827257982211,0.4307827257982211,fallback,,42.0,1026.0,,
3356,0.40985355028912956,0.40985355028912956,0.40985355028912956,0.40985355028912956,0.40985355028912956,fallback,,14.0,1026.0,,
3355,0.4383728859354852,0.4383728859354852,0.4383728859354852,0.4383728859354852,0.4383728859354852,fallback,,62.0,1026.0,,
3354,0.4964680656938911,0.4964680656938911,0.4964680656938911,0.4964680656938911,0.4964680656938911,fallback,,1171.0,1026.0,,
3353,0.5093764941244937,0.5093764941244937,0.5093764941244937,0.5093764941244937,0.5093764941244937,fallback,,2243.0,1026.0,,
3352,0.45967271379701,0.45967271379701,0.45967271379701,0.45967271379701,0.45967271379701,fallback,,183.0,1026.0,,
3351,0.4415710439993075,0.4415710439993075,0.4415710439993075,0.4415710439993075,0.4415710439993075,fallback,,73.0,1026.0,,
3350,0.4757402136551159,0.4757402136551159,0.4757402136551159,0.4757402136551159,0.4757402136551159,fallback,,412.0,1026.0,,
3349,0.4958480626248187,0.4958480626248187,0.4958480626248187,0.4958480626248187,0.4958480626248187,fallback,,1135.0,1026.0,,
3359,0.48319549086189567,0.48319549086189567,0.48319549086189567,0.48319549086189567,0.48319549086189567,fallback,,600.0,1026.0,,
3394,0.493804713802598,0.493804713802598,0.493804713802598,0.493804713802598,0.493804713802598,fallback,,1024.0,1026.0,,
3393,0.4841949891837995,0.4841949891837995,0.4841949891837995,0.4841949891837995,0.4841949891837995,fallback,,631.0,1026.0,,
3392,0.44523901622896855,0.44523901622896855,0.44523901622896855,0.44523901622896855,0.44523901622896855,fallback,,88.0,1026.0,,
3391,0.4440899718904309,0.4440899718904309,0.4440899718904309,0.4440899718904309,0.4440899718904309,fallback,,83.0,1026.0,,
3390,0.4426172292786348,0.4426172292786348,0.4426172292786348,0.4426172292786348,0.4426172292786348,fallback,,77.0,1026.0,,
3389,0.4341735549126611,0.4341735549126611,0.4341735549126611,0.4341735549126611,0.4341735549126611,fallback,,50.0,1026.0,,
3388,0.4553459100412425,0.4553459100412425,0.4553459100412425,0.4553459100412425,0.4553459100412425,fallback,,147.0,1026.0,,
3387,0.43031510584849597,0.43031510584849597,0.43031510584849597,0.43031510584849597,0.43031510584849597,fallback,,41.0,1026.0,,
3386,0.42000515262628396,0.42000515262628396,0.42000515262628396,0.42000515262628396,0.42000515262628396,fallback,,24.0,1026.0,,
3385,0.4229546931362749,0.4229546931362749,0.4229546931362749,0.4229546931362749,0.4229546931362749,fallback,,28.0,1026.0,,
3372,0.5029991171692053,0.5029991171692053,0.5029991171692053,0.5029991171692053,0.5029991171692053,fallback,,1627.0,1026.0,,
3382,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
3381,0.4678023671302533,0.4678023671302533,0.4678023671302533,0.4678023671302533,0.4678023671302533,fallback,,276.0,1026.0,,
3380,0.47510461679402366,0.47510461679402366,0.47510461679402366,0.47510461679402366,0.47510461679402366,fallback,,399.0,1026.0,,
3379,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
3378,0.4899199347120838,0.4899199347120838,0.4899199347120838,0.4899199347120838,0.4899199347120838,fallback,,842.0,1026.0,,
3377,0.43706927567160575,0.43706927567160575,0.43706927567160575,0.43706927567160575,0.43706927567160575,fallback,,58.0,1026.0,,
3376,0.4183481156712053,0.4183481156712053,0.4183481156712053,0.4183481156712053,0.4183481156712053,fallback,,22.0,1026.0,,
3375,0.48659150619223274,0.48659150619223274,0.48659150619223274,0.48659150619223274,0.48659150619223274,fallback,,712.0,1026.0,,
3374,0.4401807618001294,0.4401807618001294,0.4401807618001294,0.4401807618001294,0.4401807618001294,fallback,,68.0,1026.0,,
3373,0.45409911533132163,0.45409911533132163,0.45409911533132163,0.45409911533132163,0.45409911533132163,fallback,,138.0,1026.0,,
3383,0.45351884254697766,0.45351884254697766,0.45351884254697766,0.45351884254697766,0.45351884254697766,fallback,,134.0,1026.0,,
3506,0.4421010202315318,0.4421010202315318,0.4421010202315318,0.4421010202315318,0.4421010202315318,fallback,,75.0,1026.0,,
3505,0.501212156511818,0.501212156511818,0.501212156511818,0.501212156511818,0.501212156511818,fallback,,1487.0,1026.0,,
3504,0.5051599645450552,0.5051599645450552,0.5051599645450552,0.5051599645450552,0.5051599645450552,fallback,,1814.0,1026.0,,
3503,0.4526153719271451,0.4526153719271451,0.4526153719271451,0.4526153719271451,0.4526153719271451,fallback,,128.0,1026.0,,
3502,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,fallback,,80.0,1026.0,,
3501,0.44455759184015603,0.44455759184015603,0.44455759184015603,0.44455759184015603,0.44455759184015603,fallback,,85.0,1026.0,,
3500,0.47885169978363956,0.47885169978363956,0.47885169978363956,0.47885169978363956,0.47885169978363956,fallback,,482.0,1026.0,,
3499,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,fallback,,11.0,1026.0,,
3498,0.4657642671342974,0.4657642671342974,0.4657642671342974,0.4657642671342974,0.4657642671342974,fallback,,249.0,1026.0,,
3497,0.492810860168857,0.492810860168857,0.492810860168857,0.492810860168857,0.492810860168857,fallback,,974.0,1026.0,,
3439,0.492273721229427,0.492273721229427,0.492273721229427,0.492273721229427,0.492273721229427,fallback,,948.0,1026.0,,
3495,0.46898604383200615,0.46898604383200615,0.46898604383200615,0.46898604383200615,0.46898604383200615,fallback,,293.0,1026.0,,
3494,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,fallback,,15.0,1026.0,,
3493,0.47091697229369306,0.47091697229369306,0.47091697229369306,0.47091697229369306,0.47091697229369306,fallback,,323.0,1026.0,,
3492,0.48754384799556966,0.48754384799556966,0.48754384799556966,0.48754384799556966,0.48754384799556966,fallback,,747.0,1026.0,,
3491,0.42725168003584485,0.42725168003584485,0.42725168003584485,0.42725168003584485,0.42725168003584485,fallback,,35.0,1026.0,,
3490,0.46758596284019927,0.46758596284019927,0.46758596284019927,0.46758596284019927,0.46758596284019927,fallback,,273.0,1026.0,,
3489,0.4846611465443112,0.4846611465443112,0.4846611465443112,0.4846611465443112,0.4846611465443112,fallback,,646.0,1026.0,,
3488,0.5015169823690745,0.5015169823690745,0.5015169823690745,0.5015169823690745,0.5015169823690745,fallback,,1510.0,1026.0,,
3487,0.42725168003584485,0.42725168003584485,0.42725168003584485,0.42725168003584485,0.42725168003584485,fallback,,35.0,1026.0,,
3486,0.49337352876121593,0.49337352876121593,0.49337352876121593,0.49337352876121593,0.49337352876121593,fallback,,1002.0,1026.0,,
3496,0.441300659815778,0.441300659815778,0.441300659815778,0.441300659815778,0.441300659815778,fallback,,72.0,1026.0,,
3528,0.4447873392651989,0.4447873392651989,0.4447873392651989,0.4447873392651989,0.4447873392651989,fallback,,86.0,1026.0,,
3527,0.4625812445860031,0.4625812445860031,0.4625812445860031,0.4625812445860031,0.4625812445860031,fallback,,212.0,1026.0,,
3526,0.46367044488413217,0.46367044488413217,0.46367044488413217,0.46367044488413217,0.46367044488413217,fallback,,224.0,1026.0,,
3525,0.5055717412046629,0.5055717412046629,0.5055717412046629,0.5055717412046629,0.5055717412046629,fallback,,1852.0,1026.0,,
3524,0.43123959490595953,0.43123959490595953,0.43123959490595953,0.43123959490595953,0.43123959490595953,fallback,,43.0,1026.0,,
3523,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,fallback,,89.0,1026.0,,
3522,0.4174647288640246,0.4174647288640246,0.4174647288640246,0.4174647288640246,0.4174647288640246,fallback,,21.0,1026.0,,
3521,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,fallback,,15.0,1026.0,,
3520,0.44674363203272555,0.44674363203272555,0.44674363203272555,0.44674363203272555,0.44674363203272555,fallback,,95.0,1026.0,,
3519,0.4367295591782097,0.4367295591782097,0.4367295591782097,0.4367295591782097,0.4367295591782097,fallback,,57.0,1026.0,,
3507,0.45613566684753476,0.45613566684753476,0.45613566684753476,0.45613566684753476,0.45613566684753476,fallback,,153.0,1026.0,,
3517,0.5216479383982372,0.5216479383982372,0.5216479383982372,0.5216479383982372,0.5216479383982372,fallback,,4160.0,1026.0,,
3516,0.41919389994885564,0.41919389994885564,0.41919389994885564,0.41919389994885564,0.41919389994885564,fallback,,23.0,1026.0,,
3515,0.4803567441742804,0.4803567441742804,0.4803567441742804,0.4803567441742804,0.4803567441742804,fallback,,520.0,1026.0,,
3514,0.40368986282208974,0.40368986282208974,0.40368986282208974,0.40368986282208974,0.40368986282208974,fallback,,10.0,1026.0,,
3513,0.4428703910579947,0.4428703910579947,0.4428703910579947,0.4428703910579947,0.4428703910579947,fallback,,78.0,1026.0,,
3512,0.43740328237299936,0.43740328237299936,0.43740328237299936,0.43740328237299936,0.43740328237299936,fallback,,59.0,1026.0,,
3511,0.4777085324023908,0.4777085324023908,0.4777085324023908,0.4777085324023908,0.4777085324023908,fallback,,455.0,1026.0,,
3510,0.47110013424397684,0.47110013424397684,0.47110013424397684,0.47110013424397684,0.47110013424397684,fallback,,326.0,1026.0,,
3509,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,fallback,,11.0,1026.0,,
3508,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,fallback,,80.0,1026.0,,
3518,0.45890192180052986,0.45890192180052986,0.45890192180052986,0.45890192180052986,0.45890192180052986,fallback,,176.0,1026.0,,
3461,0.4483343152335806,0.4483343152335806,0.4483343152335806,0.4483343152335806,0.4483343152335806,fallback,,103.0,1026.0,,
3460,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
3459,0.4985737538988162,0.4985737538988162,0.4985737538988162,0.4985737538988162,0.4985737538988162,fallback,,1302.0,1026.0,,
3458,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,0.44546106245998857,fallback,,89.0,1026.0,,
3457,0.4802803097303348,0.4802803097303348,0.4802803097303348,0.4802803097303348,0.4802803097303348,fallback,,518.0,1026.0,,
